,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
234,above 200 EUR,4,paid back previous loans at this bank,furniture,1544,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,less than 1 year,real estate,42,no additional loans,own,4 or 5,unskilled (permanent resident),3 and more,none,no,Approved
235,no account,24,paid back all previous loans,furniture,1823,no savings account at this bank,unemployed,less than 20%,male married or widowed,none,between 1 and 4 years,car,30,at department store,own,1,executive or self-employed,3 and more,none,no,Rejected
236,no balance,6,paid back all previous loans,other,14555,above 1000 EUR,unemployed,more than 35%,male married or widowed,none,between 1 and 4 years,life insurance,23,no additional loans,own,1,unskilled (non-resident),0 to 2,yes,no,Rejected
237,no balance,21,paid back all previous loans,retraining,2767,below 100 EUR,more than 7 years,less than 20%,male divorced,none,between 1 and 4 years,car,61,at other banks,rent,2 or 3,unskilled (permanent resident),0 to 2,none,no,Rejected
238,above 200 EUR,12,paid back previous loans at this bank,furniture,1291,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,life insurance,35,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
239,no account,30,paid back all previous loans,furniture,2522,no savings account at this bank,more than 7 years,more than 35%,male married or widowed,guarantor,between 4 and 7 years,life insurance,39,no additional loans,own,1,skilled,3 and more,none,no,Approved
240,no account,24,paid back all previous loans,other,915,above 1000 EUR,more than 7 years,less than 20%,male single,none,between 1 and 4 years,car,29,at other banks,own,1,skilled,0 to 2,none,no,Rejected
241,above 200 EUR,6,paid back all previous loans,furniture,1595,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,life insurance,51,no additional loans,own,1,skilled,3 and more,none,no,Approved
242,no account,48,delay payment of previous loans,new car,4605,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,24,no additional loans,for free,2 or 3,skilled,3 and more,none,no,Rejected
243,above 200 EUR,12,paid back previous loans at this bank,retraining,1185,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,none,between 1 and 4 years,real estate,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
244,above 200 EUR,12,other loans exist at other banks,vacation,3447,between 100 and 500 EUR,between 1 and 4 years,less than 20%,male single,none,between 4 and 7 years,real estate,35,no additional loans,own,1,unskilled (permanent resident),3 and more,none,no,Approved
245,above 200 EUR,24,paid back all previous loans,retraining,1258,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,less than 1 year,real estate,25,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
246,above 200 EUR,12,paid back previous loans at this bank,furniture,717,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,52,no additional loans,own,4 or 5,skilled,0 to 2,none,no,Approved
247,above 200 EUR,6,delay payment of previous loans,other,1204,below 100 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,less than 1 year,none,35,at other banks,rent,1,skilled,0 to 2,none,yes,Approved
248,below 200 EUR,24,paid back all previous loans,used car,1925,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,real estate,26,no additional loans,own,1,skilled,0 to 2,none,no,Approved
249,above 200 EUR,18,paid back all previous loans,furniture,433,no savings account at this bank,unemployed,between 20 and 25%,male single,co-applicant,more than 7 years,real estate,22,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
250,no account,6,paid back previous loans at this bank,other,666,between 500 and 1000 EUR,between 4  and 7 years,between 20 and 25%,male single,none,more than 7 years,real estate,39,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,yes,no,Approved
251,below 200 EUR,12,paid back all previous loans,used car,2251,no savings account at this bank,between 1 and 4 years,more than 35%,male single,none,between 1 and 4 years,car,46,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
252,no balance,30,paid back all previous loans,other,2150,no savings account at this bank,between 1 and 4 years,less than 20%,male single,guarantor,between 1 and 4 years,none,24,at other banks,own,1,skilled,0 to 2,none,no,Rejected
253,above 200 EUR,24,no problems with current loans,used car,4151,below 100 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,life insurance,35,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
254,no balance,9,paid back all previous loans,used car,2030,above 1000 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,none,less than 1 year,car,24,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
255,no balance,60,no problems with current loans,furniture,7418,above 1000 EUR,between 1 and 4 years,more than 35%,male married or widowed,none,less than 1 year,real estate,27,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
256,above 200 EUR,24,paid back previous loans at this bank,furniture,2684,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,35,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
257,no account,12,other loans exist at other banks,furniture,2149,no savings account at this bank,between 1 and 4 years,less than 20%,male divorced,none,less than 1 year,none,29,no additional loans,for free,1,skilled,0 to 2,none,no,Rejected
258,above 200 EUR,15,paid back all previous loans,new car,3812,below 100 EUR,less than 1 year,more than 35%,male single,none,more than 7 years,car,23,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
259,above 200 EUR,11,paid back previous loans at this bank,furniture,1154,below 100 EUR,unemployed,less than 20%,male single,none,more than 7 years,real estate,57,no additional loans,own,4 or 5,unskilled (permanent resident),0 to 2,none,no,Approved
260,no account,12,paid back all previous loans,used car,1657,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,real estate,27,no additional loans,own,1,skilled,0 to 2,none,no,Approved
261,no account,24,paid back all previous loans,furniture,1603,no savings account at this bank,more than 7 years,less than 20%,male single,none,more than 7 years,car,55,no additional loans,own,1,skilled,0 to 2,none,no,Approved
262,no account,18,paid back previous loans at this bank,other,5302,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,none,36,no additional loans,for free,4 or 5,executive or self-employed,0 to 2,yes,no,Approved
263,above 200 EUR,12,paid back previous loans at this bank,repair,2748,no savings account at this bank,more than 7 years,between 25 and 35%,male single,none,more than 7 years,none,57,at other banks,for free,4 or 5,unskilled (permanent resident),0 to 2,none,no,Approved
264,above 200 EUR,10,paid back previous loans at this bank,other,1231,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,real estate,32,no additional loans,own,2 or 3,unskilled (permanent resident),3 and more,none,yes,Approved
265,no balance,15,paid back all previous loans,furniture,802,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,37,no additional loans,own,1,skilled,3 and more,none,no,Rejected
266,above 200 EUR,36,paid back previous loans at this bank,retraining,6304,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,36,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
267,above 200 EUR,24,paid back all previous loans,furniture,1533,no savings account at this bank,less than 1 year,less than 20%,male single,none,between 4 and 7 years,car,38,at department store,own,1,skilled,0 to 2,yes,no,Approved
268,no account,14,paid back all previous loans,other,8978,no savings account at this bank,more than 7 years,more than 35%,male divorced,none,more than 7 years,life insurance,45,no additional loans,own,1,executive or self-employed,0 to 2,yes,yes,Rejected
269,above 200 EUR,24,paid back all previous loans,furniture,999,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,25,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
270,above 200 EUR,18,paid back all previous loans,other,2662,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,life insurance,32,no additional loans,own,1,skilled,0 to 2,none,yes,Approved
271,above 200 EUR,12,paid back previous loans at this bank,used car,1402,between 100 and 500 EUR,between 4  and 7 years,between 20 and 25%,male single,none,more than 7 years,car,37,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
272,no balance,48,other loans exist at other banks,other,12169,above 1000 EUR,unemployed,less than 20%,male married or widowed,co-applicant,more than 7 years,none,36,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Approved
273,no balance,48,paid back all previous loans,furniture,3060,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,28,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
274,no account,30,paid back all previous loans,domestic appliances,11998,no savings account at this bank,less than 1 year,more than 35%,male divorced,none,less than 1 year,none,34,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Rejected
275,above 200 EUR,9,paid back all previous loans,furniture,2697,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,between 1 and 4 years,real estate,32,no additional loans,own,1,skilled,3 and more,none,no,Approved
276,above 200 EUR,18,paid back previous loans at this bank,furniture,2404,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,between 1 and 4 years,car,26,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
277,no account,12,paid back all previous loans,used car,1262,above 1000 EUR,more than 7 years,between 25 and 35%,male divorced,none,more than 7 years,life insurance,49,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Approved
278,above 200 EUR,6,paid back all previous loans,used car,4611,no savings account at this bank,less than 1 year,more than 35%,male single,none,more than 7 years,life insurance,32,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
279,above 200 EUR,24,paid back all previous loans,furniture,1901,below 100 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,car,29,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Approved
280,above 200 EUR,15,paid back previous loans at this bank,new car,3368,between 500 and 1000 EUR,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,23,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Approved
281,above 200 EUR,12,paid back all previous loans,used car,1574,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,50,no additional loans,own,1,skilled,0 to 2,none,no,Approved
282,below 200 EUR,18,other loans exist at other banks,furniture,1445,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,car,49,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
283,above 200 EUR,15,paid back previous loans at this bank,used car,1520,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,63,no additional loans,own,1,skilled,0 to 2,none,no,Approved
284,no balance,24,paid back previous loans at this bank,other,3878,below 100 EUR,less than 1 year,less than 20%,male divorced,none,between 1 and 4 years,car,37,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
285,no account,47,paid back all previous loans,other,10722,no savings account at this bank,less than 1 year,more than 35%,male single,none,less than 1 year,real estate,35,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Approved
286,no account,48,paid back all previous loans,new car,4788,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,life insurance,26,no additional loans,own,1,skilled,3 and more,none,no,Approved
287,no balance,48,no problems with current loans,business,7582,below 100 EUR,unemployed,between 25 and 35%,male married or widowed,none,more than 7 years,none,31,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Approved
288,no balance,12,paid back all previous loans,furniture,1092,no savings account at this bank,between 1 and 4 years,less than 20%,male single,guarantor,more than 7 years,real estate,49,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
289,no account,24,no problems with current loans,furniture,1024,no savings account at this bank,less than 1 year,less than 20%,female,none,more than 7 years,real estate,48,at department store,own,1,skilled,0 to 2,none,no,Rejected
290,above 200 EUR,12,paid back all previous loans,retraining,1076,no savings account at this bank,between 1 and 4 years,between 25 and 35%,female,none,between 1 and 4 years,real estate,26,no additional loans,own,1,skilled,0 to 2,yes,yes,Approved
291,no balance,36,paid back all previous loans,new car,9398,no savings account at this bank,less than 1 year,more than 35%,female,none,more than 7 years,car,28,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Rejected
292,no account,24,paid back previous loans at this bank,new car,6419,no savings account at this bank,more than 7 years,between 25 and 35%,male single,none,more than 7 years,none,44,no additional loans,for free,2 or 3,executive or self-employed,3 and more,yes,no,Approved
293,below 200 EUR,42,paid back previous loans at this bank,new car,4796,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,56,no additional loans,for free,1,skilled,0 to 2,none,no,Approved
294,above 200 EUR,48,paid back previous loans at this bank,retraining,7629,above 1000 EUR,more than 7 years,less than 20%,male divorced,none,between 1 and 4 years,car,46,at other banks,own,2 or 3,executive or self-employed,3 and more,none,no,Approved
295,no balance,48,paid back all previous loans,used car,9960,no savings account at this bank,less than 1 year,more than 35%,male single,none,between 1 and 4 years,car,26,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
296,above 200 EUR,12,paid back all previous loans,new car,4675,above 1000 EUR,less than 1 year,more than 35%,male single,none,more than 7 years,car,20,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
297,above 200 EUR,10,paid back all previous loans,other,1287,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,co-applicant,between 1 and 4 years,life insurance,45,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,yes,Approved
298,above 200 EUR,18,paid back all previous loans,used car,2515,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,more than 7 years,real estate,43,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
299,no balance,21,paid back previous loans at this bank,used car,2745,between 500 and 1000 EUR,between 4  and 7 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,car,32,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
300,above 200 EUR,6,paid back all previous loans,other,672,no savings account at this bank,unemployed,more than 35%,male single,none,more than 7 years,real estate,54,no additional loans,own,1,unskilled (non-resident),0 to 2,yes,no,Approved
301,no balance,36,delay payment of previous loans,furniture,3804,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,less than 1 year,car,42,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
302,below 200 EUR,24,paid back previous loans at this bank,other,1344,above 1000 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,37,at other banks,own,2 or 3,unskilled (permanent resident),3 and more,none,no,Rejected
303,no account,10,paid back previous loans at this bank,other,1038,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,co-applicant,between 4 and 7 years,life insurance,49,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
304,above 200 EUR,48,paid back previous loans at this bank,other,10127,between 100 and 500 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,none,44,at other banks,for free,1,skilled,0 to 2,none,no,Rejected
305,above 200 EUR,6,paid back all previous loans,used car,1543,between 500 and 1000 EUR,between 1 and 4 years,less than 20%,male divorced,none,between 1 and 4 years,real estate,33,no additional loans,own,1,skilled,0 to 2,none,no,Approved
306,above 200 EUR,30,paid back all previous loans,new car,4811,above 1000 EUR,between 4  and 7 years,between 25 and 35%,male single,none,more than 7 years,life insurance,24,at department store,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
307,no account,12,paid back all previous loans,furniture,727,below 100 EUR,less than 1 year,less than 20%,female,none,between 4 and 7 years,none,33,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Rejected
308,no balance,8,paid back all previous loans,used car,1237,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,none,more than 7 years,real estate,24,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
309,no balance,9,paid back all previous loans,other,276,no savings account at this bank,between 1 and 4 years,less than 20%,female,none,more than 7 years,real estate,22,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
310,no balance,48,paid back all previous loans,business,5381,above 1000 EUR,unemployed,between 20 and 25%,male married or widowed,none,more than 7 years,none,40,at other banks,for free,1,unskilled (non-resident),0 to 2,yes,no,Approved
311,above 200 EUR,24,paid back all previous loans,used car,5511,below 100 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,less than 1 year,car,25,at department store,own,1,skilled,0 to 2,none,no,Approved
312,below 200 EUR,24,paid back all previous loans,used car,3749,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,more than 7 years,car,26,no additional loans,own,1,skilled,0 to 2,none,no,Approved
313,no balance,12,paid back all previous loans,other,685,no savings account at this bank,between 4  and 7 years,between 25 and 35%,female,none,between 4 and 7 years,car,25,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
314,below 200 EUR,4,paid back all previous loans,other,1494,above 1000 EUR,less than 1 year,more than 35%,male married or widowed,none,between 1 and 4 years,real estate,29,no additional loans,own,1,unskilled (permanent resident),3 and more,none,yes,Approved
315,no account,36,other loans exist at other banks,used car,2746,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,31,at other banks,own,1,skilled,0 to 2,none,no,Rejected
316,no account,12,paid back all previous loans,used car,708,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,guarantor,between 4 and 7 years,life insurance,38,no additional loans,own,1,unskilled (permanent resident),3 and more,none,no,Approved
317,no balance,24,paid back all previous loans,used car,4351,above 1000 EUR,between 1 and 4 years,more than 35%,male single,none,more than 7 years,life insurance,48,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Approved
318,above 200 EUR,12,paid back previous loans at this bank,repair,701,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,32,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
319,no account,15,no problems with current loans,used car,3643,no savings account at this bank,more than 7 years,more than 35%,male single,none,more than 7 years,life insurance,27,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
320,no balance,30,paid back previous loans at this bank,other,4249,no savings account at this bank,unemployed,less than 20%,female,none,between 1 and 4 years,car,28,no additional loans,own,2 or 3,executive or self-employed,0 to 2,none,no,Rejected
321,no account,24,paid back all previous loans,furniture,1938,no savings account at this bank,less than 1 year,less than 20%,male divorced,none,between 4 and 7 years,life insurance,32,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
322,no account,24,paid back all previous loans,new car,2910,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,less than 1 year,none,34,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Approved
323,no account,18,paid back all previous loans,used car,2659,between 500 and 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,28,no additional loans,own,1,skilled,0 to 2,none,no,Approved
324,above 200 EUR,18,paid back previous loans at this bank,other,1028,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,between 4 and 7 years,real estate,36,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
325,no account,8,paid back previous loans at this bank,other,3398,no savings account at this bank,between 4  and 7 years,more than 35%,male married or widowed,none,more than 7 years,real estate,39,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,yes,Approved
326,above 200 EUR,12,paid back previous loans at this bank,used car,5801,above 1000 EUR,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,life insurance,49,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
327,above 200 EUR,24,paid back all previous loans,other,1525,between 500 and 1000 EUR,between 4  and 7 years,less than 20%,male single,none,between 4 and 7 years,car,34,no additional loans,own,1,skilled,3 and more,yes,no,Approved
328,below 200 EUR,36,paid back all previous loans,furniture,4473,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,31,no additional loans,own,1,skilled,0 to 2,none,no,Approved
329,no balance,6,paid back all previous loans,furniture,1068,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,28,no additional loans,own,1,skilled,3 and more,none,no,Approved
330,no account,24,paid back previous loans at this bank,new car,6615,no savings account at this bank,unemployed,between 25 and 35%,male married or widowed,none,more than 7 years,none,75,no additional loans,for free,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
331,above 200 EUR,18,paid back previous loans at this bank,repair,1864,below 100 EUR,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,real estate,30,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
332,no balance,60,paid back all previous loans,other,7408,below 100 EUR,less than 1 year,less than 20%,male single,none,between 1 and 4 years,life insurance,24,no additional loans,own,1,executive or self-employed,0 to 2,none,no,Rejected
333,above 200 EUR,48,paid back previous loans at this bank,new car,11590,below 100 EUR,between 1 and 4 years,between 25 and 35%,male single,none,more than 7 years,car,24,at other banks,rent,2 or 3,unskilled (permanent resident),0 to 2,none,no,Rejected
334,no account,24,delay payment of previous loans,used car,4110,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,23,at other banks,rent,2 or 3,skilled,3 and more,none,no,Rejected
335,no account,6,paid back previous loans at this bank,used car,3384,no savings account at this bank,between 1 and 4 years,more than 35%,male divorced,none,more than 7 years,real estate,44,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Rejected
336,no balance,13,paid back all previous loans,furniture,2101,no savings account at this bank,less than 1 year,between 25 and 35%,male single,guarantor,more than 7 years,life insurance,23,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
337,no account,15,paid back all previous loans,television,1275,above 1000 EUR,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,car,24,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
338,no account,24,paid back all previous loans,used car,4169,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,28,no additional loans,own,1,skilled,0 to 2,none,no,Approved
339,no balance,10,paid back all previous loans,used car,1521,no savings account at this bank,between 1 and 4 years,less than 20%,male divorced,none,between 1 and 4 years,car,31,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
340,no balance,24,paid back previous loans at this bank,repair,5743,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,more than 7 years,none,24,no additional loans,for free,2 or 3,skilled,0 to 2,yes,no,Approved
341,no account,21,paid back all previous loans,used car,3599,no savings account at this bank,between 4  and 7 years,more than 35%,male single,none,more than 7 years,car,26,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
342,no balance,18,paid back all previous loans,furniture,3213,between 100 and 500 EUR,less than 1 year,more than 35%,female,none,between 4 and 7 years,real estate,25,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
343,no balance,18,paid back all previous loans,retraining,4439,no savings account at this bank,more than 7 years,more than 35%,male married or widowed,co-applicant,less than 1 year,real estate,33,at other banks,own,1,executive or self-employed,0 to 2,yes,no,Approved
344,below 200 EUR,10,paid back all previous loans,other,3949,no savings account at this bank,less than 1 year,more than 35%,male married or widowed,guarantor,less than 1 year,life insurance,37,no additional loans,own,1,unskilled (permanent resident),3 and more,none,no,Approved
345,above 200 EUR,15,paid back previous loans at this bank,furniture,1459,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,car,43,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
346,no balance,13,paid back previous loans at this bank,furniture,882,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,guarantor,more than 7 years,real estate,23,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
347,no balance,24,paid back all previous loans,furniture,3758,between 100 and 500 EUR,unemployed,more than 35%,male single,none,more than 7 years,none,23,no additional loans,rent,1,unskilled (non-resident),0 to 2,none,no,Approved
348,above 200 EUR,6,no problems with current loans,retraining,1743,below 100 EUR,between 1 and 4 years,more than 35%,male married or widowed,none,between 1 and 4 years,real estate,34,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
349,no balance,9,paid back previous loans at this bank,repair,1136,between 500 and 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,none,32,no additional loans,for free,2 or 3,skilled,3 and more,none,no,Rejected
350,above 200 EUR,9,paid back all previous loans,television,1236,no savings account at this bank,less than 1 year,more than 35%,male single,none,more than 7 years,real estate,23,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
351,no balance,9,paid back all previous loans,used car,959,no savings account at this bank,between 1 and 4 years,more than 35%,male single,none,between 1 and 4 years,car,29,no additional loans,own,1,skilled,0 to 2,none,yes,Rejected
352,above 200 EUR,18,paid back previous loans at this bank,new car,3229,above 1000 EUR,unemployed,between 25 and 35%,male married or widowed,none,more than 7 years,none,38,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
353,no account,12,delay payment of previous loans,furniture,6199,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,28,no additional loans,rent,2 or 3,skilled,0 to 2,yes,no,Rejected
354,above 200 EUR,10,paid back all previous loans,repair,727,between 100 and 500 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,46,no additional loans,for free,1,skilled,0 to 2,yes,no,Approved
355,no balance,24,paid back all previous loans,other,1246,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,23,at department store,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
356,above 200 EUR,12,paid back previous loans at this bank,furniture,2331,above 1000 EUR,more than 7 years,more than 35%,male married or widowed,co-applicant,more than 7 years,real estate,49,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
357,above 200 EUR,36,no problems with current loans,furniture,4463,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,26,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Rejected
358,above 200 EUR,12,paid back all previous loans,furniture,776,no savings account at this bank,between 1 and 4 years,less than 20%,female,none,between 1 and 4 years,real estate,28,no additional loans,own,1,skilled,0 to 2,none,no,Approved
359,no account,30,paid back all previous loans,used car,2406,no savings account at this bank,between 4  and 7 years,less than 20%,male single,none,more than 7 years,real estate,23,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
360,no balance,18,paid back all previous loans,repair,1239,above 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,none,61,no additional loans,for free,1,skilled,0 to 2,none,no,Approved
361,below 200 EUR,12,paid back all previous loans,furniture,3399,above 1000 EUR,more than 7 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,car,37,no additional loans,own,1,executive or self-employed,0 to 2,none,no,Approved
362,below 200 EUR,12,no problems with current loans,other,2247,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,between 1 and 4 years,car,36,at department store,own,2 or 3,skilled,0 to 2,yes,no,Approved
363,above 200 EUR,6,paid back all previous loans,used car,1766,no savings account at this bank,between 1 and 4 years,more than 35%,female,none,between 1 and 4 years,life insurance,21,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
364,no account,18,paid back all previous loans,used car,2473,no savings account at this bank,unemployed,less than 20%,male married or widowed,none,less than 1 year,car,25,no additional loans,own,1,unskilled (non-resident),0 to 2,none,no,Rejected
365,above 200 EUR,12,paid back all previous loans,retraining,1542,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,car,36,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
366,above 200 EUR,18,paid back previous loans at this bank,new car,3850,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,less than 1 year,car,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
367,no account,18,paid back all previous loans,used car,3650,no savings account at this bank,less than 1 year,more than 35%,male single,none,more than 7 years,car,22,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
